Date,Open,High,Low,Close,Adj Close,Volume
03 November 2020,2193.899902,2193.899902,2146.75,2154.649902,2154.649902,1781465
04 November 2020,2160,2213.850098,2156,2169.449951,2169.449951,2189957
05 November 2020,2190,2245.699951,2183.649902,2238.300049,2238.300049,2671841
06 November 2020,2233.949951,2248,2202.5,2209.050049,2209.050049,2395965
09 November 2020,2249,2249,2214.149902,2225.199951,2225.199951,1691773
10 November 2020,2225.199951,2238.550049,2189,2199.75,2199.75,1879561
11 November 2020,2205,2223,2157.300049,2181.699951,2181.699951,2387398
12 November 2020,2172,2201.75,2162,2171.800049,2171.800049,1626054
13 November 2020,2180.5,2206.550049,2172,2179.949951,2179.949951,1560060
14 November 2020,null,null,null,null,null,null
17 November 2020,2206.399902,2221.899902,2182,2187.649902,2187.649902,1699293
18 November 2020,2185,2210,2166.100098,2195.75,2195.75,1817170
19 November 2020,2175,2195,2156.699951,2161.699951,2161.699951,2669522
20 November 2020,2163.350098,2190.050049,2160.550049,2166.550049,2166.550049,2196113
23 November 2020,2160.550049,2196.949951,2138.800049,2186.25,2186.25,4002609
24 November 2020,2192.899902,2231,2191,2207.899902,2207.899902,2954306
25 November 2020,2197.25,2208.699951,2150,2154.300049,2154.300049,1682365
26 November 2020,2160,2177.449951,2117.149902,2155.300049,2155.300049,2247478
27 November 2020,2170,2244.600098,2165,2215.300049,2215.300049,10036402
01 December 2020,2275,2275,2206.199951,2230.050049,2230.050049,2235498
02 December 2020,2241,2325.949951,2236,2315.850098,2315.850098,3305952
03 December 2020,2340,2421.850098,2316.25,2411.399902,2411.399902,4334658
04 December 2020,2400,2445,2375,2438.75,2438.75,2789953
07 December 2020,2440,2478.800049,2437,2472.550049,2472.550049,1762501
08 December 2020,2470.550049,2484.199951,2427.949951,2438.899902,2438.899902,2090950
09 December 2020,2450,2532.100098,2447,2522.300049,2522.300049,2022370
10 December 2020,2515.949951,2552,2501,2526.050049,2526.050049,2372909
11 December 2020,2516,2536.899902,2495,2520.949951,2520.949951,2171653
14 December 2020,2530,2553.899902,2521,2548.149902,2548.149902,1280339
15 December 2020,2535,2538.600098,2502.5,2527.449951,2527.449951,1283286
16 December 2020,2540,2587.899902,2537.600098,2582.449951,2582.449951,1920875
17 December 2020,2569,2603.350098,2557,2575.050049,2575.050049,1750663
18 December 2020,2577,2636,2575.550049,2601.5,2601.5,4402604
21 December 2020,2595.449951,2602.300049,2539.100098,2554.649902,2554.649902,1383048
22 December 2020,2541,2613.600098,2496.199951,2600.800049,2600.800049,1993090
23 December 2020,2604,2650,2604,2642.550049,2642.550049,1339307
24 December 2020,2658,2658,2613,2648.25,2648.25,1143202
28 December 2020,2654.25,2689.5,2629.550049,2683.899902,2683.899902,1226254
29 December 2020,2685,2712.449951,2673,2696.800049,2696.800049,1562853
30 December 2020,2694,2742.850098,2680.350098,2734.399902,2734.399902,1614643
31 December 2020,2734.399902,2772,2725.050049,2764.5,2764.5,1526325
01 January 2021,2759,2792,2750,2775.550049,2775.550049,1246698
04 January 2021,2781.100098,2791.100098,2745,2753.699951,2753.699951,1360486
05 January 2021,2753.699951,2804.600098,2732,2793.850098,2793.850098,1299589
06 January 2021,2801.300049,2822.449951,2780,2805.350098,2805.350098,1697884
07 January 2021,2801,2831.850098,2781.5,2792.25,2792.25,1142806
08 January 2021,2818,2849.800049,2789.050049,2844.699951,2844.699951,1660967
11 January 2021,2845,2873.449951,2824.600098,2849.300049,2849.300049,1517995
12 January 2021,2849.600098,2850,2712.149902,2720.550049,2720.550049,6674890
13 January 2021,2760,2763,2678,2703.699951,2703.699951,2862676
14 January 2021,2713,2736.649902,2648,2663.899902,2663.899902,2124950
15 January 2021,2660.899902,2661.850098,2580.550049,2590.899902,2590.899902,2570436
18 January 2021,2592,2619.850098,2555.399902,2588.199951,2588.199951,2395168
19 January 2021,2615,2676.600098,2590,2645.050049,2645.050049,2558693
20 January 2021,2654,2707.149902,2645.050049,2697.25,2697.25,2065439
21 January 2021,2726.949951,2816.949951,2695,2716.350098,2716.350098,5015712
22 January 2021,2750,2768.850098,2590,2596.649902,2596.649902,4945564
25 January 2021,2612.850098,2631.5,2501,2513.949951,2513.949951,3520087
27 January 2021,2525,2525,2430.550049,2436.600098,2436.600098,2700415
28 January 2021,2420,2453.949951,2401.050049,2441.699951,2441.699951,3035457
29 January 2021,2456,2484,2400,2407.350098,2407.350098,2768673
01 February 2021,2426.600098,2467.75,2376.899902,2447.800049,2447.800049,1797359
02 February 2021,2460,2520,2425.100098,2463.649902,2463.649902,2679428
03 February 2021,2503.850098,2503.850098,2438.350098,2453.649902,2453.649902,2409356
04 February 2021,2456,2456,2398,2401.800049,2401.800049,3478562
05 February 2021,2420,2423.899902,2370.800049,2376.75,2376.75,3303319
08 February 2021,2394,2434.899902,2373.399902,2416.850098,2416.850098,3666313
09 February 2021,2432.5,2532.449951,2423.649902,2506.850098,2506.850098,7178572
10 February 2021,2529,2555,2475,2510.600098,2510.600098,4473123
11 February 2021,2524.949951,2540,2495.100098,2505.5,2505.5,1446286
12 February 2021,2518,2523,2464.199951,2486.100098,2486.100098,1376085
15 February 2021,2495,2517.5,2448.550049,2456.75,2456.75,1634576
16 February 2021,2472,2475.100098,2422,2450.25,2450.25,1615849
17 February 2021,2436,2455.050049,2382,2388.149902,2388.149902,3178784
18 February 2021,2424,2479.600098,2395.25,2470.75,2470.75,4253843
19 February 2021,2470.899902,2470.899902,2400,2416.449951,2416.449951,2244567
22 February 2021,2428.75,2448,2380,2387.050049,2387.050049,2002642
23 February 2021,2375,2400,2315,2372.199951,2372.199951,3267268
24 February 2021,2373,2409.350098,2347.199951,2361.350098,2361.350098,1708526
25 February 2021,2375,2386.25,2336.199951,2373.75,2373.75,2839515
